Year,Authors,Title,Source,Screening,Inclusion
2011,"DM Salama, NM El-Gohary",Semantic modeling for automated compliance checking,Computing in Civil Engineering,y,n
2012,"G Boella, L Di Caro, L Humphreys, L Robaldo, L Rossi","Nlp challenges for eunomos, a tool to build and manage legal knowledge",Language Resources and Evaluation (LREC),y,n
2013,"J Dimyadi, R Amor",Automated building code compliance checking–where is it at,Proceedings of CIB WBC,y,n
2013,"DA Salama, NM El-Gohary",Automated compliance checking of construction operation plans using a deontology for the construction domain,"Journal of Computing in Civil Engineering, ASCE",y,n
2015,"J Zhang, NM El-Gohary",Automated information transformation for automated regulatory compliance checking in construction,"Journal of Computing in Civil Engineering, ASCE",y,y
2015,"W Solihin, C Eastman",Classification of rules for automated BIM rule checking development,"Automation in Construction, Elsevier",y,n
2014,"SA Mokhov, J Paquet, M Debbabi",The use of NLP techniques in static code analysis to detect weaknesses and vulnerabilities,Proceedings of the International Conference on Security of Information and Networks,n,
2017,"B Lin, S Scalabrino, A Mocci, R Oliveto, et al.",Investigating the use of code analysis and NLP to promote a consistent usage of identifiers,IEEE International Conference on Source Code Analysis and Manipulation,n,
2015,"M Yalcinkaya, V Singh",Patterns and trends in building information modeling (BIM) research: A latent semantic analysis,"Automation in Construction, Elsevier",y,n
2015,"M Uhm, G Lee, Y Park, S Kim, J Jung, J Lee",Requirements for computational rule checking of requests for proposals (RFPs) for building designs in South Korea,"Advanced Engineering Informatics, Elsevier",y,n
2017,"M Landhäußer, S Weigelt, WF Tichy",NLCI: a natural language command interpreter,"Automated Software Engineering, Springer",n,
2015,"A Arellano, E Carney, MA Austin",Natural language processing of textual requirements,"The Tenth International Conference on Software Engineering Advances, IEEE",y,n
2016,"M Robeer, G Lucassen",Automated extraction of conceptual models from user stories via NLP,"2016 IEEE 24th International Requirements Engineering Conference (RE), IEEE",n,
2016,"J Zhang, NM El-Gohary",Semantic NLP-based information extraction from construction regulatory documents for automated compliance checking,"Journal of Computing in Civil Engineering, ASCE",y,y
2016,"J Zhang, NM El-Gohary",Extending building information models semiautomatically using semantic natural language processing techniques,"Journal of Computing in Civil Engineering, ASCE",y,y
2016,"S Li, H Cai, VR Kamat",Integrating natural language processing and spatial reasoning for utility compliance checking,"Journal of Construction Engineering and Management, ASCE",y,y
