Name,eval/lrml_f_score.max,eval/bleu.max,train/global_step,learning_rate,_n_gpu,metric_for_best_model,dataloader_drop_last,output_hidden_states,ID,Runtime,End Time,Updated,Created,State,test/bleu,test/length_ratio,test/lrml_f_score,test/lrml_recall,test/prediction,test/runtime,test/steps_per_second,test/brevity_penalty,test/lrml_precision,test/reference_length,test/loss,test/samples_per_second,test/translation_length,test/precisions
bart-base-lrml-b16_0.0001_beam3_hyper_42,31.30902455,0.401924987,630.0,0.0001,1,lrml_f_score,False,False,eo7j7h0b,957,2022-08-09T19:50:03.000Z,2022-08-09T19:50:03.000Z,2022-08-09T19:34:06.000Z,finished,0.391216656,0.831207483,31.30902455,29.99298727,,29.5309,0.135,0.816221876,32.74585251,7056.0,0.24416168,2.066,5865.0,"[0.7512361466325661,0.5823569951757409,0.4210343026292878,0.28651883139739526]"
bart-base-lrml-b16_0.0001_beam1_hyper_42,29.28183956,0.435836111,630.0,0.0001,1,lrml_f_score,False,False,1eunupwv,676,2022-08-09T19:33:51.000Z,2022-08-09T19:33:51.000Z,2022-08-09T19:22:35.000Z,finished,0.400503211,1.180839002,29.28183956,33.41702754,,10.5483,0.379,1.0,26.05737173,7056.0,0.24416168,5.783,8332.0,"[0.614258281325012,0.484463789142788,0.3552984165651644,0.24334274144066756]"
bart-base-lrml-b12_0.0001_beam3_hyper_42,31.52878752,0.390856174,690.0,0.0001,1,lrml_f_score,False,False,2gbjazgj,811,2022-08-09T19:22:20.000Z,2022-08-09T19:22:20.000Z,2022-08-09T19:08:49.000Z,finished,0.325163644,0.689909297,31.52878752,29.86326501,,21.5774,0.278,0.6379688,33.39106089,7056.0,0.243278116,2.827,4868.0,"[0.7777321281840591,0.6168088204701477,0.45111672987779183,0.31184631803628604]"
bart-base-lrml-b12_0.0001_beam1_hyper_42,28.18732791,0.459583171,782.0,0.0001,1,lrml_f_score,False,False,84bl7amo,664,2022-08-09T19:08:34.000Z,2022-08-09T19:08:34.000Z,2022-08-09T18:57:30.000Z,finished,0.427420837,0.901218821,28.18732791,27.73940285,,8.6016,0.698,0.896184987,28.64995623,7056.0,0.246936098,7.092,6359.0,"[0.73344865544897,0.5695458875833598,0.4184704184704185,0.2959844559585492]"
bart-base-lrml-b8_0.0001_beam3_hyper_42,29.68708723,0.377727614,759.0,0.0001,1,lrml_f_score,False,False,2llbbxfj,600,2022-08-09T18:57:15.000Z,2022-08-09T18:57:15.000Z,2022-08-09T18:47:15.000Z,finished,0.277503312,0.633219955,29.68708723,27.10658093,,18.3205,0.437,0.560329609,32.81060849,7056.0,0.233093858,3.33,4468.0,"[0.7482094897045658,0.5988200589970502,0.441555453290382,0.3040840140023337]"
bart-base-lrml-b8_0.0001_beam1_hyper_42,26.58202308,0.412237091,759.0,0.0001,1,lrml_f_score,False,False,1fkxdmfa,479,2022-08-09T18:47:01.000Z,2022-08-09T18:47:01.000Z,2022-08-09T18:39:02.000Z,finished,0.412237091,1.103599773,26.58202308,29.2262222,,14.0242,0.57,1.0,24.37658747,7056.0,0.233093858,4.35,7787.0,"[0.6501862077822012,0.5016826300802485,0.36020874103065886,0.2457916885849553]"
bart-base-lrml-b4_0.0001_beam3_hyper_42,29.1142258,0.421249363,2192.0,0.0001,1,lrml_f_score,False,False,4fogp95g,985,2022-08-09T18:38:47.000Z,2022-08-09T18:38:47.000Z,2022-08-09T18:22:22.000Z,finished,0.370066137,0.795918367,29.1142258,29.35502273,,29.0267,0.551,0.773824437,28.8773472,7056.0,0.283065319,2.102,5616.0,"[0.7375356125356125,0.5747974797479748,0.42318893338187114,0.29155162893429043]"
bart-base-lrml-b4_0.0001_beam1_hyper_42,25.61267208,0.432766598,1370.0,0.0001,1,lrml_f_score,False,False,2hv3owsx,552,2022-08-09T18:22:08.000Z,2022-08-09T18:22:08.000Z,2022-08-09T18:12:56.000Z,finished,0.375667084,0.97760771,25.61267208,26.76404796,,17.0622,0.938,0.977355143,24.55627355,7056.0,0.245755434,3.575,6898.0,"[0.618730066685996,0.46804153868655846,0.3310212514757969,0.22769918093819808]"
bart-base-lrml-b16_9e-05_beam3_hyper_42,32.91110064,0.413062501,700.0,9e-05,1,lrml_f_score,False,False,1ap8umpn,1072,2022-08-09T18:12:42.000Z,2022-08-09T18:12:42.000Z,2022-08-09T17:54:50.000Z,finished,0.398060492,0.847080499,32.91110064,32.43288494,,22.6555,0.177,0.83483152,33.40362975,7056.0,0.244120017,2.693,5977.0,"[0.7339802576543416,0.5752197430696416,0.41998292058070025,0.2915084570245081]"
bart-base-lrml-b16_9e-05_beam1_hyper_42,28.49049008,0.455844271,700.0,9e-05,1,lrml_f_score,False,False,mgd4xtlk,764,2022-08-09T17:54:35.000Z,2022-08-09T17:54:35.000Z,2022-08-09T17:41:51.000Z,finished,0.42999306,0.986536281,28.49049008,29.50949473,,10.7614,0.372,0.98644524,27.53951173,7056.0,0.249758765,5.668,6961.0,"[0.6685821002729493,0.5223188405797101,0.3839742652434566,0.26925346709943937]"
bart-base-lrml-b12_9e-05_beam3_hyper_42,31.5077833,0.409759674,690.0,9e-05,1,lrml_f_score,False,False,3lxgx0k9,811,2022-08-09T17:41:35.000Z,2022-08-09T17:41:35.000Z,2022-08-09T17:28:04.000Z,finished,0.33636949,0.725765306,31.5077833,29.03112323,,21.6339,0.277,0.685329258,34.44642559,7056.0,0.236937582,2.82,5121.0,"[0.772895918765866,0.5978260869565217,0.4312862572514503,0.2912110166059133]"
bart-base-lrml-b12_9e-05_beam1_hyper_42,29.55964188,0.464510602,920.0,9e-05,1,lrml_f_score,False,False,2aomju69,806,2022-08-09T17:27:49.000Z,2022-08-09T17:27:49.000Z,2022-08-09T17:14:23.000Z,finished,0.464510602,1.013747166,29.55964188,32.36362156,,10.6429,0.564,1.0,27.20279545,7056.0,0.263025433,5.732,7153.0,"[0.7001258213337062,0.5514664410603497,0.41018347319015785,0.293974175035868]"
bart-base-lrml-b8_9e-05_beam3_hyper_42,29.70724252,0.401090938,759.0,9e-05,1,lrml_f_score,False,False,vk7f9wis,590,2022-08-09T17:14:08.000Z,2022-08-09T17:14:08.000Z,2022-08-09T17:04:18.000Z,finished,0.299214204,0.667091837,29.70724252,27.49385516,,17.5085,0.457,0.607110794,32.30820843,7056.0,0.225891516,3.484,4707.0,"[0.7718291905672403,0.6028842014636246,0.4355507088331515,0.2911140583554377]"
bart-base-lrml-b8_9e-05_beam1_hyper_42,28.68885145,0.407563224,966.0,9e-05,1,lrml_f_score,False,False,oigfvll9,597,2022-08-09T17:04:04.000Z,2022-08-09T17:04:04.000Z,2022-08-09T16:54:07.000Z,finished,0.335469292,0.744189342,28.68885145,26.96863282,,8.8832,0.901,0.709110403,30.64347309,7056.0,0.242397904,6.867,5251.0,"[0.7482384307750904,0.5709055876685935,0.4104113862351336,0.2857142857142857]"
bart-base-lrml-b4_9e-05_beam3_hyper_42,30.54551955,0.419495743,1507.0,9e-05,1,lrml_f_score,False,False,33v7j6pt,682,2022-08-09T16:53:52.000Z,2022-08-09T16:53:52.000Z,2022-08-09T16:42:30.000Z,finished,0.362792807,0.764030612,30.54551955,28.82727642,,24.3201,0.658,0.734292315,32.48157639,7056.0,0.225722119,2.508,5391.0,"[0.7317751808569839,0.5872420262664165,0.440880622509015,0.31451612903225806]"
bart-base-lrml-b4_9e-05_beam1_hyper_42,25.56571771,0.435426368,1370.0,9e-05,1,lrml_f_score,False,False,23x72f1a,538,2022-08-09T16:42:15.000Z,2022-08-09T16:42:15.000Z,2022-08-09T16:33:17.000Z,finished,0.342938779,0.841978458,25.56571771,26.32792222,,11.8103,1.355,0.828880866,24.84640379,7056.0,0.237056702,5.165,5941.0,"[0.6643662683049991,0.5068027210884354,0.35263791029386493,0.2467870788468218]"
bart-base-lrml-b16_8e-05_beam3_hyper_42,32.61892815,0.407772682,630.0,8e-05,1,lrml_f_score,False,False,qyarthe7,1008,2022-08-09T16:33:01.000Z,2022-08-09T16:33:01.000Z,2022-08-09T16:16:13.000Z,finished,0.387987374,0.79223356,32.61892815,31.36820043,,28.7969,0.139,0.769315573,33.97353708,7056.0,0.23714824,2.118,5590.0,"[0.7694096601073346,0.6046301320311087,0.4462326261887344,0.31163306824486775]"
bart-base-lrml-b16_8e-05_beam1_hyper_42,29.34301886,0.446959055,700.0,8e-05,1,lrml_f_score,False,False,uo8japek,784,2022-08-09T16:15:58.000Z,2022-08-09T16:15:58.000Z,2022-08-09T16:02:54.000Z,finished,0.446959055,1.039965986,29.34301886,30.54920272,,11.0618,0.362,1.0,28.22846541,7056.0,0.247198105,5.514,7338.0,"[0.6890160806759335,0.5373093307681737,0.3923226164079822,0.2747728860936408]"
bart-base-lrml-b12_8e-05_beam3_hyper_42,32.00447991,0.376322962,874.0,8e-05,1,lrml_f_score,False,False,2rhnalm9,970,2022-08-09T16:02:40.000Z,2022-08-09T16:02:40.000Z,2022-08-09T15:46:30.000Z,finished,0.376322962,0.791524943,32.00447991,29.98775339,,24.1143,0.249,0.768446708,34.31202063,7056.0,0.246768445,2.53,5585.0,"[0.7434198746642793,0.5872556118754526,0.4347428153029471,0.3030359126249537]"
bart-base-lrml-b12_8e-05_beam1_hyper_42,28.78414569,0.432756816,782.0,8e-05,1,lrml_f_score,False,False,2koq0e8n,656,2022-08-09T15:46:15.000Z,2022-08-09T15:46:15.000Z,2022-08-09T15:35:19.000Z,finished,0.427559095,0.948979592,28.78414569,29.93311693,,8.2858,0.724,0.947656257,27.72011951,7056.0,0.242436498,7.362,6696.0,"[0.6910095579450418,0.5406179351921627,0.39671432917554,0.2795946568401658]"
bart-base-lrml-b8_8e-05_beam3_hyper_42,29.40945793,0.366075438,828.0,8e-05,1,lrml_f_score,False,False,tf0w5vgg,631,2022-08-09T15:35:04.000Z,2022-08-09T15:35:04.000Z,2022-08-09T15:24:33.000Z,finished,0.260038477,0.579790249,29.40945793,25.49037633,,15.6971,0.51,0.484440011,34.75258021,7056.0,0.232981503,3.886,4091.0,"[0.7936934734783672,0.6379652605459057,0.4799697656840514,0.3416069600818833]"
bart-base-lrml-b8_8e-05_beam1_hyper_42,28.42573618,0.419506722,1311.0,8e-05,1,lrml_f_score,False,False,25a9mydb,802,2022-08-09T15:24:16.000Z,2022-08-09T15:24:16.000Z,2022-08-09T15:10:54.000Z,finished,0.419506722,0.949971655,28.42573618,29.07380195,,10.2508,0.78,0.948699683,27.8059317,7056.0,0.259557456,5.951,6703.0,"[0.6890944353274653,0.532520325203252,0.3864154383832245,0.2696319018404908]"
bart-base-lrml-b4_8e-05_beam3_hyper_42,31.22970803,0.402888484,1644.0,8e-05,1,lrml_f_score,False,False,3r5yvc5o,714,2022-08-09T15:10:40.000Z,2022-08-09T15:10:40.000Z,2022-08-09T14:58:46.000Z,finished,0.40225087,1.063492063,31.22970803,32.69550478,,36.042,0.444,1.0,29.8897004,7056.0,0.24244076,1.692,7504.0,"[0.6224680170575693,0.489050114201263,0.3553237604985099,0.2420434366889769]"
bart-base-lrml-b4_8e-05_beam1_hyper_42,27.54961378,0.438229751,1781.0,8e-05,1,lrml_f_score,False,False,26umbg30,676,2022-08-09T14:58:32.000Z,2022-08-09T14:58:32.000Z,2022-08-09T14:47:16.000Z,finished,0.438229751,0.949404762,27.54961378,27.56970298,,15.8764,1.008,0.948103566,27.52955384,7056.0,0.245958462,3.842,6699.0,"[0.716226302433199,0.5512202470623682,0.4061122092139273,0.2846838551258441]"
bart-base-lrml-b16_7e-05_beam3_hyper_42,33.57154231,0.412816278,700.0,7e-05,1,lrml_f_score,False,False,307khc5o,1106,2022-08-09T14:47:01.000Z,2022-08-09T14:47:01.000Z,2022-08-09T14:28:35.000Z,finished,0.34946722,0.713860544,33.57154231,31.62164045,,24.4846,0.163,0.669761346,35.77772286,7056.0,0.2391496,2.491,5037.0,"[0.7778439547349613,0.6207797427652733,0.4651068158697864,0.3300370828182942]"
bart-base-lrml-b16_7e-05_beam1_hyper_42,30.41404658,0.438598975,700.0,7e-05,1,lrml_f_score,False,False,mwp78hqv,759,2022-08-09T14:28:20.000Z,2022-08-09T14:28:20.000Z,2022-08-09T14:15:41.000Z,finished,0.43707404,0.952522676,30.41404658,30.41813255,,10.8206,0.37,0.951378044,30.40996171,7056.0,0.236780569,5.637,6721.0,"[0.7247433417646184,0.5566066066066067,0.3958175481133505,0.27898439889874577]"
bart-base-lrml-b12_7e-05_beam3_hyper_42,32.16905633,0.39708287,690.0,7e-05,1,lrml_f_score,False,False,ggycou8h,777,2022-08-09T14:15:26.000Z,2022-08-09T14:15:26.000Z,2022-08-09T14:02:29.000Z,finished,0.299588863,0.654903628,32.16905633,28.86939892,,20.6999,0.29,0.590407549,36.32032492,7056.0,0.226245314,2.947,4621.0,"[0.7797013633412682,0.6160087719298246,0.4501000222271616,0.3066696710229833]"
bart-base-lrml-b12_7e-05_beam1_hyper_42,27.64217033,0.441717458,828.0,7e-05,1,lrml_f_score,False,False,22fh4djz,692,2022-08-09T14:02:14.000Z,2022-08-09T14:02:14.000Z,2022-08-09T13:50:42.000Z,finished,0.441717458,1.098072562,27.64217033,30.10214729,,12.0008,0.5,1.0,25.55388206,7056.0,0.235398933,5.083,7748.0,"[0.6775942178626743,0.5267334460777937,0.3877524259113559,0.27508261731658956]"
bart-base-lrml-b8_7e-05_beam3_hyper_42,29.51685679,0.418487272,1311.0,7e-05,1,lrml_f_score,False,False,3ins2fiu,1016,2022-08-09T13:50:27.000Z,2022-08-09T13:50:27.000Z,2022-08-09T13:33:31.000Z,finished,0.399256477,0.857426304,29.51685679,28.25287468,,25.4222,0.315,0.846808255,30.8992321,7056.0,0.259558171,2.399,6050.0,"[0.7352066115702479,0.5733845383202538,0.4143049932523617,0.28293846940514744]"
bart-base-lrml-b8_7e-05_beam1_hyper_42,27.1287135,0.420114557,966.0,7e-05,1,lrml_f_score,False,False,3oafdpz9,589,2022-08-09T13:33:16.000Z,2022-08-09T13:33:16.000Z,2022-08-09T13:23:27.000Z,finished,0.368602944,0.865362812,27.1287135,26.34645853,,10.0217,0.798,0.855914603,27.95884188,7056.0,0.239099443,6.087,6106.0,"[0.6835899115623977,0.5212572373862696,0.3719919786096257,0.2594968765828128]"
bart-base-lrml-b4_7e-05_beam3_hyper_42,30.48554941,0.434516317,1781.0,7e-05,1,lrml_f_score,False,False,2caq7tvp,799,2022-08-09T13:23:12.000Z,2022-08-09T13:23:12.000Z,2022-08-09T13:09:53.000Z,finished,0.351226574,0.721938776,30.48554941,28.59385745,,22.9902,0.696,0.680342446,32.64527196,7056.0,0.236320764,2.653,5094.0,"[0.7746368276403612,0.6175243393602226,0.4577634754625905,0.3243738546120953]"
bart-base-lrml-b4_7e-05_beam1_hyper_42,28.36227698,0.433507409,2329.0,7e-05,1,lrml_f_score,False,False,3hdg3s11,882,2022-08-09T13:09:38.000Z,2022-08-09T13:09:38.000Z,2022-08-09T12:54:56.000Z,finished,0.406089895,1.070719955,28.36227698,31.19188108,,16.2296,0.986,1.0,26.00335541,7056.0,0.262197882,3.759,7555.0,"[0.6272667107875579,0.488791032826261,0.35692183505986813,0.24850786760716223]"
bart-base-lrml-b16_6e-05_beam3_hyper_42,34.60761471,0.399568489,700.0,6e-05,1,lrml_f_score,False,False,3jiwpkv8,1109,2022-08-09T12:54:41.000Z,2022-08-09T12:54:41.000Z,2022-08-09T12:36:12.000Z,finished,0.38297101,0.788123583,34.60761471,33.72604014,,23.9304,0.167,0.764268173,35.53651378,7056.0,0.2347835,2.549,5561.0,"[0.763531738895882,0.6034545454545455,0.44199301342158487,0.30959464484938637]"
bart-base-lrml-b16_6e-05_beam1_hyper_42,30.03903402,0.440396068,700.0,6e-05,1,lrml_f_score,False,False,1mxvmz90,756,2022-08-09T12:35:58.000Z,2022-08-09T12:35:58.000Z,2022-08-09T12:23:22.000Z,finished,0.433458418,1.074263039,30.03903402,32.25381595,,11.8364,0.338,1.0,28.108874,7056.0,0.2347835,5.154,7580.0,"[0.6860158311345647,0.5279957441149089,0.37704478412443015,0.2584831688522374]"
bart-base-lrml-b12_6e-05_beam3_hyper_42,30.77523995,0.389219946,828.0,6e-05,1,lrml_f_score,False,False,28rrsgdf,914,2022-08-09T12:23:07.000Z,2022-08-09T12:23:07.000Z,2022-08-09T12:07:53.000Z,finished,0.389219946,0.806405896,30.77523995,28.58163036,,22.375,0.268,0.786572564,33.33355465,7056.0,0.230406806,2.726,5690.0,"[0.7581722319859402,0.596198259015811,0.4366020114942529,0.3037951697839114]"
bart-base-lrml-b12_6e-05_beam1_hyper_42,26.36975545,0.41547826,460.0,6e-05,1,lrml_f_score,False,False,1xfozaz4,397,2022-08-09T12:07:39.000Z,2022-08-09T12:07:39.000Z,2022-08-09T12:01:02.000Z,finished,0.372661712,1.234126984,26.36975545,31.34574476,,10.7133,0.56,1.0,22.75716303,7056.0,0.230001152,5.694,8708.0,"[0.5898024804777217,0.4546085347519371,0.3212205916608432,0.22392961876832845]"
bart-base-lrml-b8_6e-05_beam3_hyper_42,30.32706747,0.425178822,897.0,6e-05,1,lrml_f_score,False,False,2ia6vatk,684,2022-08-09T12:00:47.000Z,2022-08-09T12:00:47.000Z,2022-08-09T11:49:23.000Z,finished,0.283571979,0.624716553,30.32706747,26.37561711,,13.4446,0.595,0.548413369,35.67111894,7056.0,0.232228324,4.537,4408.0,"[0.7676950998185118,0.6190476190476191,0.4622025198320112,0.3254437869822485]"
bart-base-lrml-b8_6e-05_beam1_hyper_42,28.54055926,0.419394948,966.0,6e-05,1,lrml_f_score,False,False,1y0rcbew,617,2022-08-09T11:49:08.000Z,2022-08-09T11:49:08.000Z,2022-08-09T11:38:51.000Z,finished,0.3928366,0.904903628,28.54055926,26.96014461,,14.8686,0.538,0.900243448,30.3178011,7056.0,0.233753532,4.103,6385.0,"[0.7033672670321065,0.530360531309298,0.37442120389589656,0.2595936794582393]"
bart-base-lrml-b4_6e-05_beam3_hyper_42,30.44845489,0.419720864,2055.0,6e-05,1,lrml_f_score,False,False,2tg0ygrk,899,2022-08-09T11:38:37.000Z,2022-08-09T11:38:37.000Z,2022-08-09T11:23:38.000Z,finished,0.355549955,0.753684807,30.44845489,27.90540056,,21.5899,0.741,0.72121745,33.50148771,7056.0,0.25130707,2.825,5318.0,"[0.7514103046257992,0.590260604907742,0.43668206312548113,0.30496592015579355]"
bart-base-lrml-b4_6e-05_beam1_hyper_42,28.04233359,0.434968891,1370.0,6e-05,1,lrml_f_score,False,False,1dduhr3z,524,2022-08-09T11:23:24.000Z,2022-08-09T11:23:24.000Z,2022-08-09T11:14:40.000Z,finished,0.366634983,0.8986678,28.04233359,29.83696363,,14.694,1.089,0.893366614,26.45134154,7056.0,0.231105253,4.151,6341.0,"[0.6703989906954739,0.5041401273885351,0.3482875060299083,0.24098733354985383]"
bart-base-lrml-b16_5e-05_beam3_hyper_42,33.40653531,0.389382291,700.0,5e-05,1,lrml_f_score,False,False,1wi1fzi0,1119,2022-08-09T11:14:26.000Z,2022-08-09T11:14:26.000Z,2022-08-09T10:55:47.000Z,finished,0.382402559,0.812641723,33.40653531,32.50048767,,28.3521,0.141,0.794093087,34.36454921,7056.0,0.228117064,2.152,5734.0,"[0.7474712242762469,0.5804688877137317,0.42391304347826086,0.29237975139614486]"
bart-base-lrml-b16_5e-05_beam1_hyper_42,29.93761664,0.407599934,560.0,5e-05,1,lrml_f_score,False,False,2p4z5mp1,625,2022-08-09T10:55:32.000Z,2022-08-09T10:55:32.000Z,2022-08-09T10:45:07.000Z,finished,0.386322963,0.860260771,29.93761664,29.26769189,,7.9754,0.502,0.850068605,30.63892839,7056.0,0.223539665,7.649,6070.0,"[0.7209225700164744,0.5498419038109502,0.3910558170813719,0.27518260574146425]"
bart-base-lrml-b12_5e-05_beam3_hyper_42,30.58420937,0.389919062,920.0,5e-05,1,lrml_f_score,False,False,1vwqxk27,1033,2022-08-09T10:44:51.000Z,2022-08-09T10:44:51.000Z,2022-08-09T10:27:38.000Z,finished,0.324104054,0.68877551,30.58420937,27.8294056,,24.6388,0.244,0.636448451,33.94432237,7056.0,0.22970137,2.476,4860.0,"[0.7631687242798354,0.6109606167951657,0.45272266779231746,0.3185802865084456]"
bart-base-lrml-b12_5e-05_beam1_hyper_42,28.20530652,0.423229176,920.0,5e-05,1,lrml_f_score,False,False,36hk530h,781,2022-08-09T10:27:23.000Z,2022-08-09T10:27:23.000Z,2022-08-09T10:14:22.000Z,finished,0.415904239,1.022534014,28.20530652,30.24368278,,10.6037,0.566,1.0,26.42434741,7056.0,0.235337079,5.753,7215.0,"[0.651975051975052,0.50377411238468,0.3623290568165798,0.2514220705346985]"
bart-base-lrml-b8_5e-05_beam3_hyper_42,30.40399571,0.405529043,759.0,5e-05,1,lrml_f_score,False,False,psdf5hh9,604,2022-08-09T10:14:07.000Z,2022-08-09T10:14:07.000Z,2022-08-09T10:04:03.000Z,finished,0.261303172,0.597647392,30.40399571,26.54512799,,18.1578,0.441,0.510059745,35.57562805,7056.0,0.226813346,3.359,4217.0,"[0.7593075646193976,0.6111645813282002,0.4581196581196581,0.32399603371343577]"
bart-base-lrml-b8_5e-05_beam1_hyper_42,27.56450122,0.418191114,759.0,5e-05,1,lrml_f_score,False,False,3curksui,483,2022-08-09T10:03:48.000Z,2022-08-09T10:03:48.000Z,2022-08-09T09:55:45.000Z,finished,0.411890056,0.979875283,27.56450122,29.52586466,,12.1893,0.656,0.97967143,25.84748742,7056.0,0.226813346,5.004,6914.0,"[0.6703789412785652,0.5155406391361448,0.36116018845700826,0.25033427425345417]"
bart-base-lrml-b4_5e-05_beam3_hyper_42,30.64848405,0.419693296,2603.0,5e-05,1,lrml_f_score,False,False,251kklmm,1147,2022-08-09T09:55:30.000Z,2022-08-09T09:55:30.000Z,2022-08-09T09:36:23.000Z,finished,0.419693296,0.935090703,30.64848405,30.79573541,,30.5267,0.524,0.932939454,30.50263417,7056.0,0.260059416,1.998,6598.0,"[0.7006668687481055,0.5487226556524399,0.39546016059295863,0.26936866718628216]"
bart-base-lrml-b4_5e-05_beam1_hyper_42,27.91979283,0.423193273,1781.0,5e-05,1,lrml_f_score,False,False,2mr93yo8,674,2022-08-09T09:36:08.000Z,2022-08-09T09:36:08.000Z,2022-08-09T09:24:54.000Z,finished,0.404810613,1.12712585,27.91979283,31.28278469,,18.0686,0.886,1.0,25.20967791,7056.0,0.235872731,3.376,7953.0,"[0.6406387526719477,0.48859604662949824,0.3506576427020815,0.2446589446589447]"
bart-base-lrml-b16_0.0001_beam5_hyper_42,32.93201895,0.35027772,630.0,0.0001,1,lrml_f_score,False,False,1c6ax7jd,1266,2022-08-09T01:43:42.000Z,2022-08-09T01:43:42.000Z,2022-08-09T01:22:36.000Z,finished,0.346878285,0.738803855,32.93201895,29.97167037,,50.539,0.079,0.702198446,36.5412557,7056.0,0.24416168,1.207,5213.0,"[0.7304814885862267,0.5861801242236024,0.44077784325279906,0.315506958250497]"
