file,number,text,lrml
lrml/NZ_NZBC-G4AS1#4.0.lrml,r1.2.2.1,1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area,"if(and(expr(fun(greaterThan),expr(fun(count),atom(rel(occupantLoad),var(space))),data(0)),expr(fun(greaterThan),expr(fun(count),atom(rel(opening),var(wall))),data(0)),expr(fun(is),atom(rel(isExternal),var(wall)),data(true)))),then(obligation(expr(fun(greaterThanEqual),atom(rel(ratio),var(ventAreaToFloorArea)),data(0.05))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.1.0.1,1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.,"if(and(atom(rel(storageFacility),var(industrialLiquidWaste),data(securityFence),operator(has)),atom(rel(treatmentFacility),var(industrialLiquidWaste),data(securityFence),operator(has)))),then(and(obligation(atom(rel(construction),var(securityFence),data(nzbc_f5_as1),operator(complyWith))),atom(rel(construction),var(securityFence),data(nzbc_f5_as1),operator(complyWith))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.1,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if(and(permission(atom(var(industrialLiquidWaste),data(sewer),operator(dischargeInto)))),and(atom(rel(treatedForSewer),var(industrialLiquidWaste),data(FALSE),operator(is))),and(atom(rel(disposalMethod),var(industrialLiquidWaste),data(nuo),operator(approvedBy)))),then(obligation(atom(var(disposalSystem),data(nzbc_g13_as2),operator(complyWith))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.2,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if(and(permission(atom(var(industrialLiquidWaste),data(sewer),operator(dischargeInto))),atom(rel(treatedForSewer),var(industrialLiquidWaste),data(TRUE),operator(is)),atom(rel(disposalMethod),var(industrialLiquidWaste),data(nuo),operator(approvedBy)))),then(obligation(atom(rel(postTreatment),var(disposalSystem),data(nzbc_g13_as2),operator(complyWith))))"
lrml/NZ_NZBC-CVM2#0.5.lrml,r2.3.3.1.0.1,"However, note that for the full burnout design fire (see Paragraph 2.4), calculations of fire resistance shall be based on burnout without sprinkler or other intervention, except that the design FLED may be modified as described in Paragraph 2.4.1 where sprinklers are installed. The following parameters shall apply: a) Post-flashover species yield for soot is Ysoot = 0.14 kg/kgfuel b) Post-flashover species yield for CO is YCO = 0.40 kg/kgfuel, and c) Design FLEDs shall be as specified in Table 2.2 for activities within buildings.","if(expr(fun(equal),atom(rel(resistance),var(fire)),data(required))),then(and(obligation(expr(fun(equal),atom(var(ysoot)),data(0.14kg/(kgoffuel)))),expr(fun(equal),atom(var(yco)),data(0.4kg/(kgoffuel))),expr(fun(complyWith),atom(var(fled)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t_2.2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.1, This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.,"if(and(or(obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c1))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c2))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c3))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c5))),obligation(expr(fun(complyWith),atom(var(building)),data(nzbc_c6)))),expr(fun(asPer),atom(rel(riskGroup),var(building)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t_1.1)),expr(fun(asPer),atom(rel(riskGroup),var(building)),data(rule)),expr(fun(equal),atom(rel(key),var(rule)),data(1.1.1)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(thisDocument))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.2,"For risk group SH, please refer to Acceptable Solution C/AS1.","if(obligation(expr(fun(is),atom(rel(riskGroup),var(building)),data(SH)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_cas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.3,"For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if(obligation(expr(fun(is),atom(rel(activity),var(building)),data(backcountryHut)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(nzbc_bch/as1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.1,1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).,"if(and(expr(fun(asPer),atom(rel(riskGroup),var(building)),data(table)),expr(fun(equal),atom(rel(key),var(table)),data(t_1.1)),not(expr(fun(is),atom(rel(riskGroup),var(building)),data(SH))))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(thisDocument))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.2,It covers buildings or parts of buildings where people: Sleep (SM),"if(or(expr(fun(is),atom(rel(activity),var(building)),data(sleeping)),expr(fun(equal),atom(rel(riskGroup),var(building)),data(SM)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(thisDocument))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.3,"It covers buildings or parts of buildings where people: a) Sleep (SM), and b) Are unable to self-evacuate without assistance through requiring special care or treatment, or they are restrained, or their liberties are restricted (SI)","if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(care)),expr(fun(is),atom(rel(activity),var(building)),data(detention))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(SI)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(thisDocument))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.4,"It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA)","if(or(or(expr(fun(is),atom(rel(activity),var(building)),data(crowd)),expr(fun(is),atom(rel(activity),var(building)),data(educational)),expr(fun(is),atom(rel(activity),var(building)),data(personalService))),expr(fun(equal),atom(rel(riskGroup),var(building)),data(CA)))),then(obligation(expr(fun(complyWith),atom(rel(fireProtection),var(building)),data(thisDocument))))"
