file,number,text,lrml
lrml/NZ_NZBC-G4AS1#4.0.lrml,r1.2.2.1,1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area.,"if( and( expression( function( greater than), expression( function( count), atom( relation( occupant load), variable( space))), data( 0)), expression( function( greater than), expression( function( count), atom( relation( opening), variable( wall))), data( 0)), expression( function( is), atom( relation( is external), variable( wall)), data( true)), not( expression( function( is), atom( relation( classified use), variable( building)), data( commercial))), not( expression( function( is), atom( relation( classified use), variable( building)), data( industrial))))), then( obligation( expression( function( greater than equal), atom( relation( ratio), variable( vent area to floor area)), data( 0.05))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.1.0.1,1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.,"if( and( or( and( expression( function( is), atom( relation( purpose), variable( facility)), data( storage)), expression( function( is), atom( relation( type), variable( storage)), data( waste))), and( expression( function( is), atom( relation( purpose), variable( facility)), data( treatment)), expression( function( is), atom( relation( type), variable( treatment)), data( waste)))), expression( function( is), atom( relation( type), variable( waste)), data( industrial liquid)), expression( function( has), atom( variable( facility)), data( security fence)))), then( and( obligation( expression( function( comply with), atom( relation( construction), variable( security fence)), data( nzbc f5as1))), obligation( expression( function( comply with), atom( relation( demolition), variable( security fence)), data( nzbc f5as1)))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.1,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if( and( expression( function( is), atom( relation( purpose), variable( system)), data( disposal)), expression( function( is), atom( relation( type), variable( disposal)), data( waste)), expression( function( is), atom( relation( type), variable( waste)), data( industrial liquid)), not( expression( function( for), atom( relation( treatment), variable( waste)), data( sewer))), expression( function( is), atom( relation( method), variable( disposal)), data( discharge)), expression( function( to), atom( variable( discharge)), data( sewer)), expression( function( has), atom( relation( method), variable( disposal)), data( approval)), expression( function( by), atom( variable( approval)), data( network utility operator)))), then( obligation( expression( function( comply with), atom( variable( system)), data( nzbc g13as2))))"
lrml/NZ_NZBC-G14AS1#2.6.lrml,r1.2.0.2,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, that part of the discharge system used to convey the waste after treatment shall comply with Acceptable Solution G13/AS2.","if( and( permission( expression( function( is), atom( relation( type), variable( disposal)), data( waste))), expression( function( is), atom( relation( type), variable( waste)), data( industrial liquid)), expression( function( for), atom( relation( treatment), variable( waste)), data( sewer)), expression( function( is), atom( relation( method), variable( disposal)), data( discharge)), expression( function( to), atom( variable( discharge)), data( sewer)), expression( function( has), atom( relation( method), variable( disposal)), data( approval)), expression( function( by), atom( variable( approval)), data( network utility operator)), expression( function( comply with), atom( variable( system)), data( nzbc g13as2)), expression( function( is), atom( relation( component), variable( system)), data( post treatment)))), then( obligation( expression( function( comply with), atom( relation( component), variable( system)), data( nzbc g13as2))))"
lrml/NZ_NZBC-CVM2#0.5.lrml,r2.3.3.1.0.1,"Calculations of fire resistance; The following parameters shall apply: a) Post-flashover species yield for soot is Ysoot = 0.14 kg/kgfuel b) Post-flashover species yield for CO is YCO = 0.40 kg/kgfuel, and c) Design FLEDs shall be as specified in Table 2.2 for activities within buildings.","if( expression( function( is), atom( relation( resistance), variable( fire)), data( required))), then( and( obligation( expression( function( equal), atom( variable( ysoot)), data( 0.14 kg/kg fuel))), expression( function( equal), atom( variable( yco)), data( 0.4 kg/kg fuel)), expression( function( comply with), atom( variable( fled)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t2.2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.1,This Acceptable Solution is one of three Acceptable Solutions that provide a means of establishing compliance with NZBC Clauses C1 to C6 Protection from Fire. It can be used for the building activities covered by risk groups specified in Paragraph 1.1.1 and described in Table 1.1.,"if( and( or( obligation( expression( function( comply with), atom( variable( building)), data( nzbc c1))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c2))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c3))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c5))), obligation( expression( function( comply with), atom( variable( building)), data( nzbc c6)))), expression( function( as per), atom( relation( risk group), variable( building)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t1.1)), expression( function( as per), atom( relation( risk group), variable( building)), data( rule)), expression( function( equal), atom( relation( key), variable( rule)), data( 1.1.1)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.2,"C1-C6 Protection from Fire; For risk group SH, please refer to Acceptable Solution C/AS1.","if( obligation( expression( function( is), atom( relation( risk group), variable( building)), data( sh)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.0.3,"C1-C6 Protection from Fire; For backcountry huts, please refer to Acceptable Solution BCH/AS1.","if( obligation( expression( function( is), atom( relation( activity), variable( building)), data( backcountry hut)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc bchas1))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.1,1.1.1 The scope of this Acceptable Solution is restricted to all risk groups listed in Table 1.1 except for risk group SH (refer to C/AS1).,"if( and( expression( function( as per), atom( relation( risk group), variable( building)), data( table)), expression( function( equal), atom( relation( key), variable( table)), data( t1.1)), not( expression( function( is), atom( relation( risk group), variable( building)), data( sh))))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.2,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Sleep (SM),"if( or( expression( function( is), atom( relation( activity), variable( building)), data( sleeping)), expression( function( equal), atom( relation( risk group), variable( building)), data( sm)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.3,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Are unable to self-evacuate without assistance through requiring special care or treatment, or they are restrained, or their liberties are restricted (SI)","if( or( expression( function( is), atom( relation( activity), variable( building)), data( care)), expression( function( is), atom( relation( activity), variable( building)), data( detention)), expression( function( equal), atom( relation( risk group), variable( building)), data( si)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.4,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Congregate, participate in group activities or where professional services or retail are provided (CA)","if( or( expression( function( is), atom( relation( activity), variable( building)), data( crowd)), expression( function( is), atom( relation( activity), variable( building)), data( educational)), expression( function( is), atom( relation( activity), variable( building)), data( personal service)), expression( function( equal), atom( relation( risk group), variable( building)), data( ca)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.5,"C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Work (WB - Business, professional services, industrial)","if( or( expression( function( is), atom( relation( activity), variable( building)), data( business)), expression( function( is), atom( relation( activity), variable( building)), data( professional service)), expression( function( is), atom( relation( activity), variable( building)), data( industrial)), expression( function( equal), atom( relation( risk group), variable( building)), data( wb)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.6,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Store goods and other materials (WS - Storage and trade service),"if( or( expression( function( is), atom( relation( activity), variable( building)), data( storage)), expression( function( is), atom( relation( activity), variable( building)), data( trade service)), expression( function( equal), atom( relation( risk group), variable( building)), data( ws)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.1.1.0.7,C1-C6 Protection from Fire; It covers buildings or parts of buildings where people: Park vehicles (VP).,"if( or( expression( function( is), atom( relation( activity), variable( building)), data( vehicle parking)), expression( function( equal), atom( relation( risk group), variable( building)), data( vp)))), then( obligation( expression( function( comply with), atom( relation( fire protection), variable( building)), data( nzbc cas2))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.1,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for the building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( building))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( building))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( building)), data( x0))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.2,"If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular firecell within a building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( firecell))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( firecell))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( firecell)), data( x0))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.3,"1.2.2 If a building contains a number of different activities which individually may be categorised in different risk groups, the risk group designated for a particular room within a building shall be that of the primary risk group.","if( and( expression( function( greater than), expression( function( count), atom( relation( activity), variable( space))), data( 1)), expression( rulestatement( expression( function( in), expression( function( max), atom( relation( risk group), variable( activity))), data( space))), appliedstatement( expression( function( define), atom( relation( stringency), variable( risk group)), data( x0)))))), then( obligation( expression( function( is), atom( relation( risk group), variable( space)), data( x0))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.2.0.4,"Other risk groups may be able to be incorporated within the same space provided these are ancillary to, and support, the primary risk groups.","if( and( expression( function( is), atom( relation( activity), variable( space)), data( ancillary)), expression( function( part of), atom( variable( space)), data( firecell)), expression( function( is), atom( relation( risk group), variable( firecell)), data( primary risk group)))), then( obligation( expression( function( is), atom( relation( risk group), variable( space)), data( primary risk group))))"
lrml/NZ_NZBC-CAS2#1.1.lrml,r1.2.3.0.1,"1.2.3 Depending on the particular building and the uses or activities within that building, there may be several primary risk groups, with one or more on each floor.","if( expression( function( has), atom( variable( building)), data( primary risk group))), then( permission( expression( function( greater than), expression( function( count), atom( variable( primary risk group))), data( 1))))"
