Step,context_no_perclause_reversed_gpt4_doc_test_55 - num_samples,context_full_perclause_reversed_gpt4_6000_test_71 - num_samples,context_full_perclause_reversed_gpt4_6000_doc_test_55 - num_samples,context_full_perclause_reversed_gpt4_8000_71 - num_samples,context_full_perclause_reversed_gpt4_6000_71 - num_samples,context_full_perclause_reversed_gpt4_doc_test_55 - num_samples,context_full_perclause_reversed_gpt4_test_71 - num_samples,context_full_perclause_reversed_gpt4_71 - num_samples,context_no_perclause_reversed_gpt4_71 - num_samples,context_intro_perclause_reversed_gpt4_71 - num_samples,context_no_perclause_reversed_gpt4_test_71 - num_samples,context_full_CoT_align_stepbystep_perclause_6000_71 - num_samples
0,22,42,33,43,35,16,18,15,26,26,31,34
1,25,51,33,48,38,20,26,26,26,31,38,32
2,28,45,32,62,43,20,27,27,32,31,35,42
3,32,39,41,53,42,26,24,24,29,30,28,38
4,31,41,49,68,48,30,32,33,34,38,36,45
5,31,40,46,62,49,27,30,31,36,35,28,45
6,34,38,49,46,31,28,20,17,20,22,26,31
7,35,39,46,67,51,25,34,34,40,40,33,45
8,34,48,44,52,37,30,27,26,33,28,35,40
9,34,43,42,59,43,28,28,26,33,33,30,44
10,36,36,47,60,41,26,22,23,29,29,27,42
11,35,38,46,64,41,27,25,26,33,29,34,41
12,34,27,47,42,30,29,18,18,25,27,21,31
13,27,34,39,48,39,28,23,23,31,27,23,39
14,34,39,45,67,47,29,31,31,37,36,31,45
15,35,41,44,51,35,27,23,23,27,27,29,36
16,27,43,32,51,29,19,22,17,24,21,31,33
17,40,43,50,64,49,31,31,28,37,37,29,43
18,33,36,45,51,36,33,22,22,28,28,28,39
19,36,36,48,58,44,28,27,29,34,32,28,42
20,34,36,46,64,52,28,32,32,41,39,25,45
21,31,36,39,54,39,33,25,29,30,29,26,37
22,23,48,35,46,32,19,20,21,25,25,38,33
23,29,36,39,55,40,24,27,26,30,32,33,43
24,28,33,41,54,36,24,18,24,31,32,23,41
25,39,37,47,65,47,25,24,29,33,32,29,45
26,31,44,39,45,32,23,19,21,24,24,36,37
27,34,52,45,46,35,30,17,26,25,22,39,33
28,37,36,47,61,44,29,32,32,39,34,28,45
29,34,39,45,67,49,32,27,28,34,35,31,44
30,32,40,43,63,46,21,27,27,34,33,30,45
31,26,36,32,54,42,25,22,24,35,31,27,34
32,26,51,32,56,41,28,27,27,34,33,36,40
33,30,40,45,44,35,28,20,17,24,29,32,34
34,28,42,40,66,47,24,30,29,37,35,36,45
35,31,38,38,67,49,21,33,30,36,37,30,45
36,31,45,43,49,33,26,21,22,27,23,36,33
37,33,37,40,59,46,27,30,31,37,36,30,45
38,31,25,40,60,44,25,26,26,34,32,18,45
39,28,31,38,67,50,21,31,31,38,37,25,45
40,29,39,40,48,34,26,20,19,24,23,28,36
41,40,44,51,47,35,31,17,20,22,23,35,35
42,34,42,44,38,28,30,14,17,18,21,37,26
43,27,42,41,45,32,22,17,16,22,22,34,32
44,40,43,50,58,33,30,21,21,25,24,34,36
45,35,43,44,69,50,28,27,27,36,35,32,45
46,38,46,52,63,43,31,31,30,37,38,36,45
47,37,44,48,43,30,29,18,16,18,19,36,28
48,34,43,45,56,41,26,32,32,30,29,37,45
49,36,46,46,50,36,30,19,19,24,25,26,34
50,35,43,53,59,44,31,30,29,36,37,35,45
51,37,52,48,71,51,28,32,32,39,41,41,45
52,35,54,47,63,51,27,36,34,42,41,41,45
53,33,37,48,58,40,27,29,29,33,32,32,41
54,30,40,37,55,39,20,26,23,27,30,30,42
55,,38,,60,42,,28,27,33,33,27,44
56,,39,,68,51,,32,32,37,39,29,45
57,,37,,43,31,,18,20,24,23,31,32
58,,32,,51,36,,26,25,33,30,27,37
59,,40,,46,34,,22,23,28,30,28,32
60,,37,,52,38,,25,22,27,28,25,37
61,,34,,53,30,,23,23,29,29,25,32
62,,35,,46,35,,18,21,24,26,30,37
63,,39,,44,31,,19,18,22,22,29,33
64,,28,,43,25,,17,12,20,20,19,28
65,,30,,54,39,,26,25,30,31,25,40
66,,41,,62,47,,32,31,37,36,30,45
67,,31,,51,33,,24,24,24,26,31,33
68,,35,,57,43,,27,31,34,32,26,41
69,,32,,58,44,,31,29,36,33,23,42
70,,45,,45,31,,21,18,23,22,33,29
