CLAUSE_NUMBER,text,file,input,spaced_lrml,random_split,doc_split
1.1.1.1,This document applies to: housing; and other buildings with an area of occupied space no greater than 300 m2.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 This document applies to: housing; and other buildings with an area of occupied space no greater than 300 m2.
Target: ","if( or( is( building. type, housing), less than equal( building. occupied space, 300 m2))), then( apply to( nzbc h1as1, building))",1,1
1.1.1.2,"For buildings that do not meet these characteristics, refer to the Acceptable Solution H1/AS2 or Verification Method H1/VM2 as a means to demonstrate compliance or use an alternative means to demonstrate compliance.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For buildings that do not meet these characteristics, refer to the Acceptable Solution H1/AS2 or Verification Method H1/VM2 as a means to demonstrate compliance or use an alternative means to demonstrate compliance.
Target: ","if( not( and( apply to( h1as1, building), less than equal( count( building. storey), 3), adjacent( building, ground level), define( min( ground level. elevation), x0), has( building, roof), define( max( roof. elevation), x1), exclude( max( roof. elevation), or( chimney, aerial)), in between( building. height, and( x0, x1)), less than equal( building. height, 10 m), has( building, floor plan area), by( floor plan area. limit, and( seismic control joint, structural control joint)), has( building, external wall), is( external wall. orientation, vertical), has( building, roof), less than equal( roof. slope, 60 deg)))), then( or( apply to( h1as2, building), apply to( h1vm2, building), use( alternative means, to demonstrate compliance)))",1,1
1.1.2.1,This acceptable solution does not include the use of foil insulation.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 This acceptable solution does not include the use of foil insulation.
Target: ","if( exist( insulation)), then( not( is( insulation. type, foil)))",1,1
1.1.2.2,"This acceptable solution does not apply to buildings with curtain walling. For these, use Verification Method H1/VM1 or use an alternative means to demonstrate compliance.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 This acceptable solution does not apply to buildings with curtain walling. For these, use Verification Method H1/VM1 or use an alternative means to demonstrate compliance.
Target: ","if( is( building. type, curtain walling)), then( not( apply to( nzbc h1as1, building))), and( or( use( verification method, h1/vm1), use( alternative means, demonstrate compliance))))",1,1
1.1.2.3,"For commercial buildings, this acceptable solution does not include requirements to comply with clause H1.3.6 of the Building Code. For this clause, use Verification Method H1/VM3 or use an alternative means to demonstrate compliance.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For commercial buildings, this acceptable solution does not include requirements to comply with clause H1.3.6 of the Building Code. For this clause, use Verification Method H1/VM3 or use an alternative means to demonstrate compliance.
Target: ","if( is( building, commercial)), then( not( apply to( nzbc h1as1, nzbc h1.3.6)), obligation( or( use( vm h1/3), demonstrate( compliance, alternative means))))",1,1
1.1.3.2,"This acceptable solution is one option that provides a means of establishing compliance with the performance criteria in Building Code clauses H1.3.1, H1.3.3, H1.3.4, and H1.3.5.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 This acceptable solution is one option that provides a means of establishing compliance with the performance criteria in Building Code clauses H1.3.1, H1.3.3, H1.3.4, and H1.3.5.
Target: ","if( exist( building)), then( comply with( building. performance criteria, and( nzbc h1.3.1, nzbc h1.3.3, nzbc h1.3.4, nzbc h1.3.5)))",1,1
1.1.3.2,Options for demonstrating compliance with H1 Energy Efficiency through the use of acceptable solutions and verification methods are summarised in Table 1.1.3.2. Compliance may also be demonstrated using an alternative solution.,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Options for demonstrating compliance with H1 Energy Efficiency through the use of acceptable solutions and verification methods are summarised in Table 1.1.3.2. Compliance may also be demonstrated using an alternative solution.
Target: ","if( is( requirement, energy efficiency), then( comply with( options, and( nzbc h1as1 t1.1.3.2, alternative solution))))",1,1
1.1.3.3,Compliance with Building Code clause H1.3.1(a) (adequate thermal resistance) satisfies clause H1.3.2E (Building Performance Index or BPI).,NZ_NZBC-H1AS1#5.1,"Source: H1AS1 Compliance with Building Code clause H1.3.1(a) (adequate thermal resistance) satisfies clause H1.3.2E (Building Performance Index or BPI).
Target: ","if( comply with( nzbc h1as1 c h1.3.1(a))), then( comply with( nzbc h1as1 c h1.3.2e))",1,1
1.2.1.2,"In buildings containing both industrial and other classified uses, the non-industrial portion shall be treated separately according to its classified use. For example, in a building containing both industrial and commercial classified uses, the commercial area shall meet the relevant energy efficiency requirements of the Building Code.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 In buildings containing both industrial and other classified uses, the non-industrial portion shall be treated separately according to its classified use. For example, in a building containing both industrial and commercial classified uses, the commercial area shall meet the relevant energy efficiency requirements of the Building Code.
Target: ","if( and( exist( building), has( building, industrial use), has( building, non-industrial use)), then( obligation( and( comply with( non-industrial use, relevant energy efficiency requirements), as per( non-industrial use, nzbc h1as1)))))",1,1
1.2.2.2,"For buildings other than housing, calculate the area based on the occupied space of the building.",NZ_NZBC-H1AS1#5.1,"Source: H1AS1 For buildings other than housing, calculate the area based on the occupied space of the building.
Target: ","if( not( is( building. type, housing))), then( define( area, occupied space))",1,1
