file,number,text,lrml,paraphrase,random_split,doc_split,selected_round_1,selected_round_2
NZ_NZBC-G4AS1#4.0,1.2.2.1,1.2.2 Natural ventilation of occupied spaces must be achieved by providing a net openable area of windows or other openings to the outside of no less than 5% of the floor area.,"if(and(has(space,naturalVentilation),greaterThan(space.occupantLoad,0))),then(obligation(and(has(space,opening),is(opening,external),define(sum(opening.netArea),x0),define(space.floorArea,x1),greaterThanEqual(x0,'0.05 * x1'))))","If a space has natural ventilation and is occupied, then the net area of openings to the outside must be greater than 5 percent of the floor area.",1,1,,-1
NZ_NZBC-G14AS1#2.6,1.1.0.1,1.1.1 A fence erected to ensure security against unauthorised access to storage and treatment facilities shall comply with F5/AS1 Construction and Demolition Hazards.,"if(or(has(storageFacility,securityFence),has(treatmentFacility,securityFence))),then(and(obligation(complyWith(securityFence,nzbc_f5as1))))","If a storage or treatment facilities has a security fence, then the security fence shall comply with F5/AS1.",1,1,0.0,-1
NZ_NZBC-G14AS1#2.6,1.2.0.1,"1.2.1 Discharge to the sewer without pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer without pre-treatment, the disposal system shall comply with Acceptable Solution G13/AS2.","if(and(for(disposalSystem,industrialLiquidWaste),is(disposalSystem.disposalMethod,discharge),accept(networkUtilityOperator,discharge),into(discharge,sewer),not(has(industrialLiquidWaste,treatment)))),then(obligation(complyWith(disposalSystem,nzbc_g13as2)))","If a disposal system discharges industrial liquid waste and the network utility operator accepts discharge of industrial liquid waste to a sewer with no pre-treatment, then the disposal system shall comply with G13/AS2.",1,0,0.0,-1
NZ_NZBC-G14AS1#2.6,1.2.0.2,"1.2.2 Discharge to the sewer after pre-treatment – Where the network utility operator accepts the discharge of industrial liquid waste to a sewer with pre-treatment, that part of the discharge system used to convey the waste after treatment shall comply with Acceptable Solution G13/AS2.","if(and(for(disposalSystem,industrialLiquidWaste),is(disposalSystem.disposalMethod,discharge),accept(networkUtilityOperator,discharge),into(discharge,sewer),has(industrialLiquidWaste,treatment),after(disposalSystem.part,treatment))),then(obligation(complyWith(disposalSystem.part,nzbc_g13as2)))","If a disposal system discharges industrial liquid waste and the network utility operator accepts discharge of industrial liquid waste to a sewer with pre-treatment and a disposal system part is after the treatement, then this disposal system part shall comply with G13/AS2.",1,1,1.0,1
NZ_NZBC-CAS2#1.1,1.4.2.0.1,1.4.2 Occupant loads shall be calculated from the occupant densities given in Table 1.2 based on the floor area of the part of the building housing the activity. Table 1.2 Occupant densities; Activity; Occupancy density (m2/ person).,"if(has(building.part,activity)),then(and(define(part.floorArea,x0),define(part.occupantDensity,x1),asPer(x1,nzbc_cas2_t1.2),equal(part.occupantLoad,'x0 * x1')))","If a building part has an activity, then the building part's occupant load shall be calculated by the parts floor area times the part's occupant density as given in C/AS2 Table 1.2.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.4.3.0.1,"1.4 Calculating occupant loads 1.4.3 Duplication shall be avoided by: a) Ensuring that, where people may be involved in more than one activity, they are counted only once.","if(and(has(space,person),within(person,activity),greaterThan(count(activity),1))),then(obligation(equal(count(person),1)))","If people are involved in more than one activity, then the people are counted only once.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.4.4.0.1,"1.4.4 Occupant load assessment shall take account of the actual arrangement and number of seats for fixed seating (see Paragraph 3.7.4). Where additional floor area abuts the fixed seating, additional occupants are permitted in that floor area based on standing space density (see Table 1.2), provided the escape route is not obstructed.","if(has(space,fixedSeating)),then(and(obligation(and(define(fixedSeating.arrangement,x0),define(count(fixedSeating.seat),x1),asPer(space.occupantLoad,and(x0,x1)))),permission(and(adjoin(floorArea,fixedSeating),define(floorArea.occupantLoad,x2),asPer(floorArea.occupantLoad,standingSpaceDensity),asPer(standingSpaceDensity,nzbc_cas2_t1.2),include(space.occupantLoad,x2),not(has(space.escapeRoute,obstruction))))))","If a space has fixed seating, then the occupant load shall take account of the actual arrangement and number of seats for fixed seating. Floor area adjacent to the fixed seating, the spaces occupant load may include the floor areas occupant load based on standing space density given in C/AS2 Table 1.2, provided the escape route is not obstructed.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.4.5.0.1,1.4.5 The requirements of this Acceptable Solution account for the fact that other people may be present in the building or firecell and additional calculations are not required when an occupant load is derived by bed spaces (i.e. for risk groups SM and SI). ,"if(and(define(count(bed),x0),asPer(occupantLoad.calculation,x0),is(space.riskGroup,or(sm,si)))),then(permission(not(and(has(occupantLoad,calculation),is(calculation.type,additional)))))","If an occupant load is calculated by the number of bed spaces and the risk group is SM or SI, then additional calculations of the occupant load are not required.",1,1,0.0,-1
NZ_NZBC-CAS2#1.1,1.4.6.0.1,"1.4.6 For the purposes of risk group SI the term 'bed' means the number of people that are under care or detention. It can include people on: a) Beds, or b) Recliner or lounge chairs, or c) Dentist chairs, or d) Treatment tables, or e) Any other furniture where an occupant may be for a period of treatment, in care or detention.","if(is(space.riskGroup,si)),then(and(is(bed,person),within(person,or(care,detention)),include(bed,or(recliner,loungeChair,dentistChair,treatmentTable,treatmentFurniture))))","If the risk group is SI, then a bed is a person under care or detention. A beds include recliner or lounge chairs, or dentist chairs, or treatment tables, or treatment furniture.",2,1,,-1
NZ_NZBC-CAS2#1.1,1.4.7.0.1,"1.4.7 If, in a particular situation, the occupant load derived from Table 1.2 is clearly more than that which will occur, the basis of any proposal for a lesser occupant load shall be substantiated to the building consent authority.","if(and(asPer(space.occupantLoad,nzbc_cas2_t1.2),lessThan(space.expectedOccupantLoad,occupantLoad))),then(permission(and(for(space.expectedOccupantLoad,fireSafetyDesign),approve(buildingConsentAuthority,expectedOccupantLoad))))","If the expected occupant load of a space is less than the occupant load of the space as from C/AS2 Table 1.2, then the space's expected occupant load may be used for the fire safety design if the building consent authority shall approve the expected occupant load.",1,1,0.0,-1
